country,location,name,nameWoDiacritics,subdivision,status,function,iata,lat,lon
IM,BRI,Bride,Bride,,RQ,-----6--,,54.38333333333333,-4.383333333333334
IM,CTN,Castletown,Castletown,,RL,1-3-----,,54.083333333333336,-4.65
IM,DGS,Douglas,Douglas,,AF,1-3-----,,54.166666666666664,-4.483333333333333
IM,JBY,Jurby,Jurby,,RL,--3-----,,54.35,-4.533333333333333
IM,KIR,Kirkmichale,Kirkmichale,,RL,--3-----,,54.28333333333333,-4.583333333333333
IM,7MI,Maughold,Maughold,,RL,--3-----,,54.3,-4.316666666666666
IM,OHN,Onchan,Onchan,,RL,--3-----,,54.18333333333333,-4.45
IM,PEL,Peel,Peel,,AF,1-3-----,,54.21666666666667,-4.766666666666667
IM,PER,Port Erin,Port Erin,,AM,1-3-----,,54.083333333333336,-4.766666666666667
IM,PSM,Port Saint Mary,Port Saint Mary,,RL,1-------,,54.06666666666667,-4.733333333333333
IM,RAM,Ramsey,Ramsey,,RL,1-3-----,,54.31666666666667,-4.383333333333334
IM,IOM,Ronaldsway Apt,Ronaldsway Apt,,AF,---4----,,54.25,-4.5
IM,SAN,Santon,Santon,,RQ,1----6--,,54.11666666666667,-4.583333333333333